library_id	asmbl_group
MGEN-0055a	test
MGEN-0056a	test
MGEN-0055b	test
MGEN-0056b	test
MGEN-0055a	core
MGEN-0056a	core
MGEN-0057a	core
MGEN-0058a	core
MGEN-0059a	core
MGEN-0060a	core
MGEN-0061a	core
MGEN-0062a	core
MGEN-0063a	core
MGEN-0064a	core
MGEN-0065a	core
MGEN-0066a	core
MGEN-0067a	core
MGEN-0068a	core
MGEN-0069a	core
MGEN-0070a	core
MGEN-0071a	core
MGEN-0072a	core
MGEN-0073a	core
MGEN-0074a	core
MGEN-0075a	core
MGEN-0076a	core
MGEN-0077a	core
MGEN-0078a	core
MGEN-0079a	core
MGEN-0080a	core
MGEN-0081a	core
MGEN-0082a	core
MGEN-0083a	core
MGEN-0084a	core
MGEN-0085a	core
MGEN-0086a	core
MGEN-0087a	core
MGEN-0088a	core
MGEN-0055b	core
MGEN-0056b	core
MGEN-0057b	core
MGEN-0058b	core
MGEN-0059b	core
MGEN-0060b	core
MGEN-0061b	core
MGEN-0062b	core
MGEN-0063b	core
MGEN-0064b	core
MGEN-0065b	core
MGEN-0066b	core
MGEN-0067b	core
MGEN-0068b	core
MGEN-0069b	core
MGEN-0070b	core
MGEN-0071b	core
MGEN-0072b	core
MGEN-0073b	core
MGEN-0074b	core
MGEN-0075b	core
MGEN-0076b	core
MGEN-0077b	core
MGEN-0078b	core
MGEN-0079b	core
MGEN-0080b	core
MGEN-0081b	core
MGEN-0082b	core
MGEN-0083b	core
MGEN-0084b	core
MGEN-0085b	core
MGEN-0086b	core
MGEN-0087b	core
MGEN-0088b	core
MGEN-0089	core
MGEN-0090	core
MGEN-0091	core
MGEN-0092	core
MGEN-0093	core
MGEN-0094	core
MGEN-0095	core
MGEN-0096	core
MGEN-0097	core
MGEN-0098	core
MGEN-0099	core
MGEN-0100	core
MGEN-0101	core
MGEN-0102	core
MGEN-0103	core
MGEN-0104	core
MGEN-0105	core
MGEN-0106	core
MGEN-0107	core
MGEN-0108	core
MGEN-0109	core
MGEN-0110	core
MGEN-0111	core
MGEN-0112	core
MGEN-0009	core-wlong
MGEN-0010	core-wlong
MGEN-0011	core-wlong
MGEN-0012	core-wlong
MGEN-0013	core-wlong
MGEN-0014	core-wlong
MGEN-0015	core-wlong
MGEN-0016	core-wlong
MGEN-0017	core-wlong
MGEN-0018	core-wlong
MGEN-0019	core-wlong
MGEN-0020	core-wlong
MGEN-0021	core-wlong
MGEN-0022	core-wlong
MGEN-0023	core-wlong
MGEN-0024	core-wlong
MGEN-0025	core-wlong
MGEN-0026	core-wlong
MGEN-0027	core-wlong
MGEN-0028	core-wlong
MGEN-0029	core-wlong
MGEN-0030	core-wlong
MGEN-0031	core-wlong
MGEN-0032	core-wlong
MGEN-0033	core-wlong
MGEN-0034	core-wlong
MGEN-0035	core-wlong
MGEN-0036	core-wlong
MGEN-0037	core-wlong
MGEN-0038	core-wlong
MGEN-0039	core-wlong
MGEN-0040	core-wlong
MGEN-0041	core-wlong
MGEN-0042	core-wlong
MGEN-0043	core-wlong
MGEN-0044	core-wlong
MGEN-0045	core-wlong
MGEN-0046	core-wlong
MGEN-0047	core-wlong
MGEN-0048	core-wlong
MGEN-0049	core-wlong
MGEN-0050	core-wlong
MGEN-0051	core-wlong
MGEN-0052	core-wlong
MGEN-0053	core-wlong
MGEN-0054	core-wlong
MGEN-0055a	core-wlong
MGEN-0056a	core-wlong
MGEN-0057a	core-wlong
MGEN-0058a	core-wlong
MGEN-0059a	core-wlong
MGEN-0060a	core-wlong
MGEN-0061a	core-wlong
MGEN-0062a	core-wlong
MGEN-0063a	core-wlong
MGEN-0064a	core-wlong
MGEN-0065a	core-wlong
MGEN-0066a	core-wlong
MGEN-0067a	core-wlong
MGEN-0068a	core-wlong
MGEN-0069a	core-wlong
MGEN-0070a	core-wlong
MGEN-0071a	core-wlong
MGEN-0072a	core-wlong
MGEN-0073a	core-wlong
MGEN-0074a	core-wlong
MGEN-0075a	core-wlong
MGEN-0076a	core-wlong
MGEN-0077a	core-wlong
MGEN-0078a	core-wlong
MGEN-0079a	core-wlong
MGEN-0080a	core-wlong
MGEN-0081a	core-wlong
MGEN-0082a	core-wlong
MGEN-0083a	core-wlong
MGEN-0084a	core-wlong
MGEN-0085a	core-wlong
MGEN-0086a	core-wlong
MGEN-0087a	core-wlong
MGEN-0088a	core-wlong
MGEN-0055b	core-wlong
MGEN-0056b	core-wlong
MGEN-0057b	core-wlong
MGEN-0058b	core-wlong
MGEN-0059b	core-wlong
MGEN-0060b	core-wlong
MGEN-0061b	core-wlong
MGEN-0062b	core-wlong
MGEN-0063b	core-wlong
MGEN-0064b	core-wlong
MGEN-0065b	core-wlong
MGEN-0066b	core-wlong
MGEN-0067b	core-wlong
MGEN-0068b	core-wlong
MGEN-0069b	core-wlong
MGEN-0070b	core-wlong
MGEN-0071b	core-wlong
MGEN-0072b	core-wlong
MGEN-0073b	core-wlong
MGEN-0074b	core-wlong
MGEN-0075b	core-wlong
MGEN-0076b	core-wlong
MGEN-0077b	core-wlong
MGEN-0078b	core-wlong
MGEN-0079b	core-wlong
MGEN-0080b	core-wlong
MGEN-0081b	core-wlong
MGEN-0082b	core-wlong
MGEN-0083b	core-wlong
MGEN-0084b	core-wlong
MGEN-0085b	core-wlong
MGEN-0086b	core-wlong
MGEN-0087b	core-wlong
MGEN-0088b	core-wlong
MGEN-0089	core-wlong
MGEN-0090	core-wlong
MGEN-0091	core-wlong
MGEN-0092	core-wlong
MGEN-0093	core-wlong
MGEN-0094	core-wlong
MGEN-0095	core-wlong
MGEN-0096	core-wlong
MGEN-0097	core-wlong
MGEN-0098	core-wlong
MGEN-0099	core-wlong
MGEN-0100	core-wlong
MGEN-0101	core-wlong
MGEN-0102	core-wlong
MGEN-0103	core-wlong
MGEN-0104	core-wlong
MGEN-0105	core-wlong
MGEN-0106	core-wlong
MGEN-0107	core-wlong
MGEN-0108	core-wlong
MGEN-0109	core-wlong
MGEN-0110	core-wlong
MGEN-0111	core-wlong
MGEN-0112	core-wlong
