mouse_id	cohort	sex	treatment	site	cage_id	date_of_birth	age_at_death_or_censor	censored
GC2079	Glenn	female	control	UM	GC88	2015-01-18		
GC2240	Glenn	male	acarbose	UM	GC94	2015-01-20		
GC2408	Glenn	female	control	UM	GC102	2015-01-24		
GC2443	Glenn	male	acarbose	UM	GC103	2015-01-24		
GC4076	Glenn	female	acarbose	UM	GC170	2015-02-23		
GC4172	Glenn	female	acarbose	UM	GC175	2015-02-25		
GC7847	Glenn	male	young	UM	GC336	2015-10-03		
UM43512	C2013	female	control	UM	1803	2013-03-26	976	0
UM43596	C2013	female	acarbose	UM	1807	2013-03-27	1056	0
UM43681	C2013	male	control	UM	1810			
UM43785	C2013	male	control	UM	1814	2013-03-29	1268	0
UM44373	C2013	male	acarbose	UM	1839	2013-04-19	1167	0
UM44478	C2013	female	control	UM	1843	2013-04-24	991	0
UM44492	C2013	male	acarbose	UM	1844	2013-04-24	1067	0
UM44688	C2013	male	control	UM	1852	2013-04-27	1026	0
UM44835	C2013	female	control	UM	1858	2013-05-02	941	0
UM44877	C2013	female	control	UM	1860	2013-05-02	1218	0
UM44996	C2013	male	acarbose	UM	1865	2013-05-07	1065	0
UM45080	C2013	male	acarbose	UM	1869	2013-05-18	1248	0
UM45136	C2013	male	control	UM	1871	2013-05-22	981	0
UM45178	C2013	female	control	UM	1873	2013-05-22	1106	0
UM45199	C2013	male	control	UM	1874	2013-05-22	1144	0
UM45416	C2013	male	control	UM	1883	2013-05-27	1049	0
UM45654	C2013	female	acarbose	UM	1893	2013-06-03	1060	0
UM45731	C2013	female	acarbose	UM	1896	2013-06-05	946	0
UM45871	C2013	male	acarbose	UM	1902	2013-06-15	1161	0
UM45892	C2013	male	acarbose	UM	1903	2013-06-15	950	0
UM46130	C2013	male	control	UM	1913	2013-06-17	896	0
UM46270	C2013	female	acarbose	UM	1919	2013-06-21	1024	0
UM46739	C2013	female	acarbose	UM	1939	2013-07-11	1173	0
UM46767	C2013	male	acarbose	UM	1940	2013-07-11	1309	0
UM46844	C2013	male	acarbose	UM	1943	2013-07-11	1009	0
UM46935	C2013	female	control	UM	1947	2013-07-12	1097	0
UM47054	C2013	female	acarbose	UM	1952	2013-07-17	1176	0
UM47103	C2013	female	control	UM	1954	2013-07-18	1071	0
UM47257	C2013	female	control	UM	1961	2013-07-21	955	0
UM47341	C2013	male	control	UM	1964	2013-08-02	1106	0
UM47383	C2013	female	acarbose	UM	1966	2013-08-02	1028	0
UM47579	C2013	female	acarbose	UM	1974	2013-08-06	1002	0
UT06263	C2013	male	control	UT	10151	2013-04-17	968	0
UT06276	C2013	male	acarbose	UT	10213	2013-05-06	1117	0
UT06309	C2013	female	control	UT	10222	2013-05-07	1148	0
UT06316	C2013	female	acarbose	UT	10224	2013-05-07	1076	0
UT06426	C2013	male	acarbose	UT	10318	2013-05-30	1232	0
UT06466	C2013	male	control	UT	10388	2013-06-20	1085	0
UT06511	C2013	male	acarbose	UT	10401	2013-06-21	1075	0
UT06542	C2013	female	control	UT	10414	2013-06-23	1005	0
UT06566	C2013	female	acarbose	UT	10439	2013-07-09	968	0
UT06576	C2013	female	control	UT	10442	2013-07-12	919	0
UT06607	C2013	female	acarbose	UT	10451	2013-07-12	966	0
UT06636	C2013	male	control	UT	10471	2013-07-15	916	0
UT06667	C2013	female	control	UT	10520	2013-08-06	943	0
UT06701	C2013	male	acarbose	UT	10546	2013-08-15	1236	0
UT06728	C2013	female	acarbose	UT	10564	2013-08-21	1113	0
UT06776	C2013	male	control	UT	10610	2013-09-03	866	0
UT06821	C2013	male	acarbose	UT	10634	2013-09-12	1025	0
UT06836	C2013	female	acarbose	UT	10639	2013-09-14	933	0
UT06848	C2013	male	control	UT	10649	2013-09-20	834	0
UT06852	C2013	female	control	UT	10650	2013-09-20	934	0
UT06868	C2013	female	control	UT	10661	2013-09-21	1132	0
UT06876	C2013	male	acarbose	UT	10663	2013-09-26	931	0
UT06877	C2013	female	acarbose	UT	10664	2013-09-26	926	0
UT06898	C2013	male	control	UT	10671	2013-10-01	1083	0
