sample_id	mouse_id	collection_date	collection_time	empty_tube_weight	full_tube_weight	hydrated_tube_weight	comments
Glenn-0014	GC2443	2015-12-22	14	1.408	1.448	1.502	
Glenn-0017	GC2240	2015-12-22	14	1.418	1.488	1.547	
Glenn-0030	GC2079	2015-12-22	15	1.403	1.426	1.483	
Glenn-0034	GC2408	2015-12-22	15	1.408	1.433	1.493	
Glenn-0043	GC4076	2016-02-05	13	1.408	1.497	1.551	
Glenn-0044	GC4172	2016-02-05	13	1.406	1.476	1.536	
Glenn-0093	GC7847	2016-02-05	14	1.414	1.445	1.528	
UM-0003	UM43785	2015-11-10	9	1.409	1.433	1.467	
UM-0006	UM44373	2015-11-10	9	1.407	1.517	1.564	
UM-0007	UM44492	2015-11-10	9	1.407	1.435	1.476	
UM-0009	UM45136	2015-11-10	9	1.408	1.441	1.454	
UM-0010	UM46130	2015-11-10	9	1.402	1.432	1.474	
UM-0011	UM43681	2015-11-10	9	1.411	1.443	1.501	
UM-0012	UM44688	2015-11-10	9	1.408	1.444	1.497	
UM-0015	UM45871	2015-11-10	10	1.408	1.457	1.504	
UM-0016	UM45892	2015-11-10	10	1.405	1.46	1.507	
UM-0019	UM44996	2015-11-10	10	1.413	1.533	1.624	
UM-0020	UM45080	2015-11-10	10	1.409	1.472	1.51	
UM-0021	UM45199	2015-11-10	10	1.409	1.456	1.51	
UM-0022	UM45416	2015-11-10	10	1.409	1.441	1.498	
UM-0023	UM47341	2015-11-10	10	1.41	1.431	1.458	
UM-0024	UM46767	2015-11-10	10	1.413	1.512	1.552	
UM-0025	UM46844	2015-11-10	10	1.416	1.477	1.507	
UM-0026	UM43512	2015-11-10	11	1.407	1.461	1.534	
UM-0027	UM43596	2015-11-10	11	1.411	1.477	1.543	
UM-0028	UM44478	2015-11-10	11	1.409	1.436	1.462	
UM-0030	UM44835	2015-11-10	11	1.419	1.477	1.514	
UM-0031	UM44877	2015-11-10	11	1.406	1.45	1.536	
UM-0032	UM45178	2015-11-10	11	1.411	1.435	1.454	
UM-0034	UM45654	2015-11-10	12	1.403	1.515	1.603	
UM-0035	UM45731	2015-11-10	12	1.404	1.647	1.729	
UM-0037	UM46270	2015-11-10	12	1.406	1.446	1.491	
UM-0040	UM46739	2015-11-10	12	1.406	1.514	1.599	
UM-0042	UM46935	2015-11-10	12	1.409	1.45	1.487	
UM-0043	UM47054	2015-11-10	12	1.409	1.475	1.507	
UM-0044	UM47103	2015-11-10	12	1.408	1.424	1.454	
UM-0045	UM47257	2015-11-10	12	1.41	1.446	1.515	
UM-0046	UM47383	2015-11-10	12	1.409	1.444	1.489	
UM-0047	UM47579	2015-11-10	12	1.407	1.567	1.646	
UT-0099	UT06263	2015-11-19	9	1.412	1.455	1.537	
UT-0100	UT06276	2015-11-19	9	1.408	1.531	1.598	
UT-0103	UT06309	2015-11-19	9	1.412	1.431	1.468	
UT-0104	UT06316	2015-11-19	9	1.416	1.447	1.468	
UT-0108	UT06426	2015-11-19	9	1.405	1.489	1.531	
UT-0110	UT06466	2015-11-19	9	1.408	1.434	1.483	
UT-0113	UT06511	2015-11-19	10	1.416	1.576	1.623	
UT-0116	UT06542	2015-11-19	10	1.409	1.439	1.46	
UT-0118	UT06566	2015-11-19	10	1.412	1.46	1.506	
UT-0119	UT06576	2015-11-19	10	1.413	1.439	1.48	
UT-0121	UT06607	2015-11-19	10	1.41	1.493	1.534	
UT-0122	UT06636	2015-11-19	10	1.418	1.461	1.55	
UT-0123	UT06667	2015-11-19	10	1.414	1.442	1.487	
UT-0125	UT06701	2015-11-19	10	1.419	1.514	1.56	
UT-0127	UT06728	2015-11-19	10	1.419	1.483	1.529	
UT-0130	UT06776	2015-11-19	10	1.405	1.469	1.556	
UT-0132	UT06821	2015-11-19	10	1.417	1.561	1.593	
UT-0134	UT06836	2015-11-19	10	1.408	1.462	1.495	
UT-0135	UT06848	2015-11-19	10	1.413	1.436	1.469	
UT-0136	UT06852	2015-11-19	10	1.413	1.428	1.452	
UT-0139	UT06868	2015-11-19	11	1.404	1.425	1.481	
UT-0141	UT06876	2015-11-19	11	1.405	1.509	1.566	
UT-0142	UT06877	2015-11-19	11	1.408	1.567	1.617	
UT-0144	UT06898	2015-11-19	11	1.409	1.442	1.477	
