sample_id	refseq_id	frac
ecoli_clonal	NC_000913.3	1
ecoli_conspecific_even	NC_000913.3	0.5
ecoli_conspecific_even	NC_011750.1	0.5
ecoli_constrainic_even	NC_000913.3	0.5
ecoli_constrainic_even	NZ_HG738867.1	0.5
escherichia_congenic_even	NC_000913.3	0.5
escherichia_congenic_even	NZ_CP007025.1	0.5
ecoli_conspecific_major	NC_000913.3	0.9
ecoli_conspecific_major	NC_011750.1	0.1
ecoli_constrainic_major	NC_000913.3	0.9
ecoli_constrainic_major	NZ_HG738867.1	0.1
escherichia_congenic_major	NC_000913.3	0.9
escherichia_congenic_major	NZ_CP007025.1	0.1
ecoli_conspecific_minor	NC_000913.3	0.1
ecoli_conspecific_minor	NC_011750.1	0.9
ecoli_constrainic_minor	NC_000913.3	0.1
ecoli_constrainic_minor	NZ_HG738867.1	0.9
escherichia_congenic_minor	NC_000913.3	0.1
escherichia_congenic_minor	NZ_CP007025.1	0.9
